./acoustic output/lf_5 5 0 0 102 102 1.0 1.0 0.4 -100
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 3202 3202, spacing : 0.000313 0.000313  
grid size 1 : 3202 3202, spacing : 0.000313 0.000313  
Time step: 0.000125 
Number of steps: 10000 
Initialization completed
step = 0 	 t = 0 
step = 9150 	 t = 1.14375 
step = 9200 	 t = 1.15 
step = 9250 	 t = 1.15625 
step = 9300 	 t = 1.1625 
step = 9350 	 t = 1.16875 
step = 9400 	 t = 1.175 
step = 9450 	 t = 1.18125 
step = 9500 	 t = 1.1875 
step = 9550 	 t = 1.19375 
step = 9600 	 t = 1.2 
step = 9650 	 t = 1.20625 
step = 9700 	 t = 1.2125 
step = 9750 	 t = 1.21875 
step = 9800 	 t = 1.225 
step = 9850 	 t = 1.23125 
step = 9900 	 t = 1.2375 
step = 9950 	 t = 1.24375 
step = 9999 	 t = 1.25 
Simulation took: 115.184 s 
wrote: output/lf_5_p.bin 
wrote: output/lf_5_t.bin 
