./acoustic output/debug_lf_5 5 0 0 102 102 1.0 1.0 0.3 -100 1
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 3202 3202, spacing : 0.000313 0.000313  
grid size 1 : 3202 3202, spacing : 0.000313 0.000313  
Time step: 9.375e-05 
Number of steps: 13333 
Initialization completed
step = 0 	 t = 0 
step = 9000 	 t = 0.84375 
step = 9050 	 t = 0.848438 
step = 9100 	 t = 0.853125 
step = 9150 	 t = 0.857812 
step = 9200 	 t = 0.8625 
step = 9250 	 t = 0.867188 
step = 9300 	 t = 0.871875 
step = 9350 	 t = 0.876563 
step = 9400 	 t = 0.88125 
step = 9450 	 t = 0.885938 
step = 9500 	 t = 0.890625 
step = 9550 	 t = 0.895313 
step = 9600 	 t = 0.9 
step = 9650 	 t = 0.904687 
step = 9700 	 t = 0.909375 
step = 9750 	 t = 0.914062 
step = 9800 	 t = 0.91875 
step = 9850 	 t = 0.923438 
step = 9900 	 t = 0.928125 
step = 9950 	 t = 0.932813 
step = 10000 	 t = 0.9375 
step = 10050 	 t = 0.942188 
step = 10100 	 t = 0.946875 
step = 10150 	 t = 0.951562 
step = 10200 	 t = 0.95625 
step = 10250 	 t = 0.960938 
step = 10300 	 t = 0.965625 
step = 10350 	 t = 0.970313 
step = 10400 	 t = 0.975 
step = 10450 	 t = 0.979688 
step = 10500 	 t = 0.984375 
step = 10550 	 t = 0.989063 
step = 10600 	 t = 0.99375 
step = 10650 	 t = 0.998437 
step = 10700 	 t = 1.00313 
step = 10750 	 t = 1.00781 
step = 10800 	 t = 1.0125 
step = 10850 	 t = 1.01719 
step = 10900 	 t = 1.02188 
step = 10950 	 t = 1.02656 
step = 11000 	 t = 1.03125 
step = 11050 	 t = 1.03594 
step = 11100 	 t = 1.04063 
step = 11150 	 t = 1.04531 
step = 11200 	 t = 1.05 
step = 11250 	 t = 1.05469 
step = 11300 	 t = 1.05937 
step = 11350 	 t = 1.06406 
step = 11400 	 t = 1.06875 
step = 11450 	 t = 1.07344 
step = 11500 	 t = 1.07812 
step = 11550 	 t = 1.08281 
step = 11600 	 t = 1.0875 
step = 11650 	 t = 1.09219 
step = 11700 	 t = 1.09688 
step = 11750 	 t = 1.10156 
step = 11800 	 t = 1.10625 
step = 11850 	 t = 1.11094 
step = 11900 	 t = 1.11563 
step = 11950 	 t = 1.12031 
step = 12000 	 t = 1.125 
step = 12050 	 t = 1.12969 
step = 12100 	 t = 1.13438 
step = 12150 	 t = 1.13906 
step = 12200 	 t = 1.14375 
step = 12250 	 t = 1.14844 
step = 12300 	 t = 1.15312 
step = 12350 	 t = 1.15781 
step = 12400 	 t = 1.1625 
step = 12450 	 t = 1.16719 
step = 12500 	 t = 1.17188 
step = 12550 	 t = 1.17656 
step = 12600 	 t = 1.18125 
step = 12650 	 t = 1.18594 
step = 12700 	 t = 1.19063 
step = 12750 	 t = 1.19531 
step = 12800 	 t = 1.2 
step = 12850 	 t = 1.20469 
step = 12900 	 t = 1.20938 
step = 12950 	 t = 1.21406 
step = 13000 	 t = 1.21875 
step = 13050 	 t = 1.22344 
step = 13100 	 t = 1.22813 
step = 13150 	 t = 1.23281 
step = 13200 	 t = 1.2375 
step = 13250 	 t = 1.24219 
step = 13300 	 t = 1.24687 
step = 13332 	 t = 1.25 
Simulation took: 163.224 s 
wrote: output/debug_lf_5_p.bin 
wrote: output/debug_lf_5_t.bin 
