./acoustic output/debug_lf_6 6 0 0 102 102 1.0 1.0 0.3 -100 1
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 6402 6402, spacing : 0.000156 0.000156  
grid size 1 : 6402 6402, spacing : 0.000156 0.000156  
Time step: 4.6875e-05 
Number of steps: 26667 
Initialization completed
step = 0 	 t = 0 
step = 50 	 t = 0.00234375 
step = 100 	 t = 0.0046875 
step = 150 	 t = 0.00703125 
step = 200 	 t = 0.009375 
step = 250 	 t = 0.0117188 
step = 300 	 t = 0.0140625 
step = 350 	 t = 0.0164062 
step = 400 	 t = 0.01875 
step = 450 	 t = 0.0210937 
step = 500 	 t = 0.0234375 
step = 550 	 t = 0.0257812 
step = 600 	 t = 0.028125 
step = 650 	 t = 0.0304687 
step = 700 	 t = 0.0328125 
step = 750 	 t = 0.0351562 
step = 800 	 t = 0.0375 
step = 850 	 t = 0.0398438 
step = 900 	 t = 0.0421875 
step = 950 	 t = 0.0445313 
step = 1000 	 t = 0.046875 
step = 1050 	 t = 0.0492188 
step = 1100 	 t = 0.0515625 
step = 1150 	 t = 0.0539063 
step = 1200 	 t = 0.05625 
step = 1250 	 t = 0.0585938 
step = 1300 	 t = 0.0609375 
step = 1350 	 t = 0.0632812 
step = 1400 	 t = 0.065625 
step = 1450 	 t = 0.0679688 
step = 1500 	 t = 0.0703125 
step = 1550 	 t = 0.0726563 
step = 1600 	 t = 0.075 
step = 1650 	 t = 0.0773438 
step = 1700 	 t = 0.0796875 
step = 1750 	 t = 0.0820312 
step = 1800 	 t = 0.084375 
step = 1850 	 t = 0.0867187 
step = 1900 	 t = 0.0890625 
step = 1950 	 t = 0.0914063 
step = 2000 	 t = 0.09375 
step = 2050 	 t = 0.0960938 
step = 2100 	 t = 0.0984375 
step = 2150 	 t = 0.100781 
step = 2200 	 t = 0.103125 
step = 2250 	 t = 0.105469 
step = 2300 	 t = 0.107813 
step = 2350 	 t = 0.110156 
step = 2400 	 t = 0.1125 
step = 2450 	 t = 0.114844 
step = 2500 	 t = 0.117188 
step = 2550 	 t = 0.119531 
step = 2600 	 t = 0.121875 
step = 2650 	 t = 0.124219 
step = 2700 	 t = 0.126562 
step = 2750 	 t = 0.128906 
step = 2800 	 t = 0.13125 
step = 2850 	 t = 0.133594 
step = 2900 	 t = 0.135938 
step = 2950 	 t = 0.138281 
step = 3000 	 t = 0.140625 
step = 3050 	 t = 0.142969 
step = 3100 	 t = 0.145313 
step = 3150 	 t = 0.147656 
step = 3200 	 t = 0.15 
step = 3250 	 t = 0.152344 
step = 3300 	 t = 0.154688 
step = 3350 	 t = 0.157031 
step = 3400 	 t = 0.159375 
step = 3450 	 t = 0.161719 
step = 3500 	 t = 0.164062 
step = 3550 	 t = 0.166406 
step = 3600 	 t = 0.16875 
step = 3650 	 t = 0.171094 
step = 3700 	 t = 0.173437 
step = 3750 	 t = 0.175781 
step = 3800 	 t = 0.178125 
step = 3850 	 t = 0.180469 
step = 3900 	 t = 0.182813 
step = 3950 	 t = 0.185156 
step = 4000 	 t = 0.1875 
step = 4050 	 t = 0.189844 
step = 4100 	 t = 0.192188 
step = 4150 	 t = 0.194531 
step = 4200 	 t = 0.196875 
step = 4250 	 t = 0.199219 
step = 4300 	 t = 0.201563 
step = 4350 	 t = 0.203906 
step = 4400 	 t = 0.20625 
step = 4450 	 t = 0.208594 
step = 4500 	 t = 0.210938 
step = 4550 	 t = 0.213281 
step = 4600 	 t = 0.215625 
step = 4650 	 t = 0.217969 
step = 4700 	 t = 0.220312 
step = 4750 	 t = 0.222656 
step = 4800 	 t = 0.225 
step = 4850 	 t = 0.227344 
step = 4900 	 t = 0.229688 
step = 4950 	 t = 0.232031 
step = 5000 	 t = 0.234375 
step = 5050 	 t = 0.236719 
step = 5100 	 t = 0.239063 
step = 5150 	 t = 0.241406 
step = 5200 	 t = 0.24375 
step = 5250 	 t = 0.246094 
step = 5300 	 t = 0.248438 
step = 5350 	 t = 0.250781 
step = 5400 	 t = 0.253125 
step = 5450 	 t = 0.255469 
step = 5500 	 t = 0.257812 
step = 5550 	 t = 0.260156 
step = 5600 	 t = 0.2625 
step = 5650 	 t = 0.264844 
step = 5700 	 t = 0.267188 
step = 5750 	 t = 0.269531 
step = 5800 	 t = 0.271875 
step = 5850 	 t = 0.274219 
step = 5900 	 t = 0.276562 
step = 5950 	 t = 0.278906 
step = 6000 	 t = 0.28125 
step = 6050 	 t = 0.283594 
step = 6100 	 t = 0.285938 
