./acoustic output/debug_lf_4 4 0 0 102 102 1.0 1.0 0.3 -100 1
Acoustic solver
Energy dissipative coupling: 0 
grid size 0 : 1602 1602, spacing : 0.000625 0.000625  
grid size 1 : 1602 1602, spacing : 0.000625 0.000625  
Time step: 0.0001875 
Number of steps: 6667 
Initialization completed
step = 0 	 t = 0 
step = 50 	 t = 0.009375 
step = 100 	 t = 0.01875 
step = 150 	 t = 0.028125 
step = 200 	 t = 0.0375 
step = 250 	 t = 0.046875 
step = 300 	 t = 0.05625 
step = 350 	 t = 0.065625 
step = 400 	 t = 0.075 
step = 450 	 t = 0.084375 
step = 500 	 t = 0.09375 
step = 550 	 t = 0.103125 
step = 600 	 t = 0.1125 
step = 650 	 t = 0.121875 
step = 700 	 t = 0.13125 
step = 750 	 t = 0.140625 
step = 800 	 t = 0.15 
step = 850 	 t = 0.159375 
step = 900 	 t = 0.16875 
step = 950 	 t = 0.178125 
step = 1000 	 t = 0.1875 
step = 1050 	 t = 0.196875 
step = 1100 	 t = 0.20625 
step = 1150 	 t = 0.215625 
step = 1200 	 t = 0.225 
step = 1250 	 t = 0.234375 
step = 1300 	 t = 0.24375 
step = 1350 	 t = 0.253125 
step = 1400 	 t = 0.2625 
step = 1450 	 t = 0.271875 
step = 1500 	 t = 0.28125 
step = 1550 	 t = 0.290625 
step = 1600 	 t = 0.3 
step = 1650 	 t = 0.309375 
step = 1700 	 t = 0.31875 
step = 1750 	 t = 0.328125 
step = 1800 	 t = 0.3375 
step = 1850 	 t = 0.346875 
step = 1900 	 t = 0.35625 
step = 1950 	 t = 0.365625 
step = 2000 	 t = 0.375 
step = 2050 	 t = 0.384375 
step = 2100 	 t = 0.39375 
step = 2150 	 t = 0.403125 
step = 2200 	 t = 0.4125 
step = 2250 	 t = 0.421875 
step = 2300 	 t = 0.43125 
step = 2350 	 t = 0.440625 
step = 2400 	 t = 0.45 
step = 2450 	 t = 0.459375 
step = 2500 	 t = 0.46875 
step = 2550 	 t = 0.478125 
step = 2600 	 t = 0.4875 
step = 2650 	 t = 0.496875 
step = 2700 	 t = 0.50625 
step = 2750 	 t = 0.515625 
step = 2800 	 t = 0.525 
step = 2850 	 t = 0.534375 
step = 2900 	 t = 0.54375 
step = 2950 	 t = 0.553125 
step = 3000 	 t = 0.5625 
step = 3050 	 t = 0.571875 
step = 3100 	 t = 0.58125 
step = 3150 	 t = 0.590625 
step = 3200 	 t = 0.6 
step = 3250 	 t = 0.609375 
step = 3300 	 t = 0.61875 
step = 3350 	 t = 0.628125 
step = 3400 	 t = 0.6375 
step = 3450 	 t = 0.646875 
step = 3500 	 t = 0.65625 
step = 3550 	 t = 0.665625 
step = 3600 	 t = 0.675 
step = 3650 	 t = 0.684375 
step = 3700 	 t = 0.69375 
step = 3750 	 t = 0.703125 
step = 3800 	 t = 0.7125 
step = 3850 	 t = 0.721875 
step = 3900 	 t = 0.73125 
step = 3950 	 t = 0.740625 
step = 4000 	 t = 0.75 
step = 4050 	 t = 0.759375 
step = 4100 	 t = 0.76875 
step = 4150 	 t = 0.778125 
step = 4200 	 t = 0.7875 
step = 4250 	 t = 0.796875 
step = 4300 	 t = 0.80625 
step = 4350 	 t = 0.815625 
step = 4400 	 t = 0.825 
step = 4450 	 t = 0.834375 
step = 4500 	 t = 0.84375 
step = 4550 	 t = 0.853125 
step = 4600 	 t = 0.8625 
step = 4650 	 t = 0.871875 
step = 4700 	 t = 0.88125 
step = 4750 	 t = 0.890625 
step = 4800 	 t = 0.9 
step = 4850 	 t = 0.909375 
step = 4900 	 t = 0.91875 
step = 4950 	 t = 0.928125 
step = 5000 	 t = 0.9375 
step = 5050 	 t = 0.946875 
step = 5100 	 t = 0.95625 
step = 5150 	 t = 0.965625 
step = 5200 	 t = 0.975 
step = 5250 	 t = 0.984375 
step = 5300 	 t = 0.99375 
step = 5350 	 t = 1.00313 
step = 5400 	 t = 1.0125 
step = 5450 	 t = 1.02188 
step = 5500 	 t = 1.03125 
step = 5550 	 t = 1.04063 
step = 5600 	 t = 1.05 
step = 5650 	 t = 1.05937 
step = 5700 	 t = 1.06875 
step = 5750 	 t = 1.07812 
step = 5800 	 t = 1.0875 
step = 5850 	 t = 1.09688 
step = 5900 	 t = 1.10625 
step = 5950 	 t = 1.11563 
step = 6000 	 t = 1.125 
step = 6050 	 t = 1.13438 
step = 6100 	 t = 1.14375 
step = 6150 	 t = 1.15312 
step = 6200 	 t = 1.1625 
step = 6250 	 t = 1.17188 
step = 6300 	 t = 1.18125 
step = 6350 	 t = 1.19063 
step = 6400 	 t = 1.2 
step = 6450 	 t = 1.20938 
step = 6500 	 t = 1.21875 
step = 6550 	 t = 1.22813 
step = 6600 	 t = 1.2375 
step = 6650 	 t = 1.24687 
step = 6666 	 t = 1.25 
Simulation took: 30.0262 s 
wrote: output/debug_lf_4_p.bin 
wrote: output/debug_lf_4_t.bin 
